"Story","Title","Result","Date","Stability","Duration (s)"
"As a user I would like to preform CURD test on categories endpoint","I read all categories data from the application","SUCCESS","2022-06-21T21:25:21.129+01:00[Europe/London]","0.0","4.38"
"As a user I would like to preform CURD test on categories endpoint","I create a new category on categories end point","SUCCESS","2022-06-21T21:25:27.815+01:00[Europe/London]","0.0","1.01"
"As a user I would like to preform CURD test on categories endpoint","I read a newly created category on categories end point","SUCCESS","2022-06-21T21:25:28.865+01:00[Europe/London]","0.0","0.07"
"As a user I would like to preform CURD test on categories endpoint","I update a newly created category on categories end point","SUCCESS","2022-06-21T21:25:28.987+01:00[Europe/London]","0.0","0.12"
"As a user I would like to preform CURD test on categories endpoint","I delete a newly created category on categories end point","SUCCESS","2022-06-21T21:25:29.143+01:00[Europe/London]","0.0","0.4"
"As a user I would like to preform CURD test on products endpoint","I read all products data from the application","SUCCESS","2022-06-21T21:25:29.664+01:00[Europe/London]","0.0","1.54"
"As a user I would like to preform CURD test on products endpoint","I create a new product on products end point","FAILURE","2022-06-21T21:25:31.232+01:00[Europe/London]","0.0","0.1"
"As a user I would like to preform CURD test on products endpoint","I read a newly created product on products end point","FAILURE","2022-06-21T21:25:31.559+01:00[Europe/London]","0.0","0.1"
"As a user I would like to preform CURD test on products endpoint","I update a newly created product on products end point","FAILURE","2022-06-21T21:25:31.755+01:00[Europe/London]","0.0","0.05"
"As a user I would like to preform CURD test on products endpoint","I delete a newly created product on products end point","FAILURE","2022-06-21T21:25:31.844+01:00[Europe/London]","0.0","0.04"
"As a user I would like to preform CURD test on services endpoint","I read all services data from the application","SUCCESS","2022-06-21T21:25:32.054+01:00[Europe/London]","0.0","0.06"
"As a user I would like to preform CURD test on services endpoint","I create a new service on services end point","SUCCESS","2022-06-21T21:25:32.170+01:00[Europe/London]","0.0","0.16"
"As a user I would like to preform CURD test on services endpoint","I read a newly created service on services end point","SUCCESS","2022-06-21T21:25:32.460+01:00[Europe/London]","0.0","0.07"
"As a user I would like to preform CURD test on services endpoint","I update a newly created service on services end point","SUCCESS","2022-06-21T21:25:32.560+01:00[Europe/London]","0.0","0.09"
"As a user I would like to preform CURD test on services endpoint","I delete a newly created service on services end point","SUCCESS","2022-06-21T21:25:32.673+01:00[Europe/London]","0.0","0.07"
"As a user I would like to preform CURD test on stores endpoint","I create a new store on stores end point","SUCCESS","2022-06-21T21:25:32.872+01:00[Europe/London]","0.0","0.09"
"As a user I would like to preform CURD test on stores endpoint","I read a newly created store on stores end point","SUCCESS","2022-06-21T21:25:32.987+01:00[Europe/London]","0.0","0.07"
"As a user I would like to preform CURD test on stores endpoint","I update a newly created store on stores end point","SUCCESS","2022-06-21T21:25:33.096+01:00[Europe/London]","0.0","0.07"
"As a user I would like to preform CURD test on stores endpoint","I delete a newly created store on stores end point","SUCCESS","2022-06-21T21:25:33.195+01:00[Europe/London]","0.0","0.07"
"As a user I would like to preform CURD test on stores endpoint","I read all stores data from the application","FAILURE","2022-06-21T21:25:33.343+01:00[Europe/London]","0.0","0.23"
"As a user I would like to preform CURD test on utilities endpoint","I check version of utilities endpoint","SUCCESS","2022-06-21T21:25:33.657+01:00[Europe/London]","0.0","0.03"
"As a user I would like to preform CURD test on utilities endpoint","I do health check of utilities endpoint","SUCCESS","2022-06-21T21:25:33.723+01:00[Europe/London]","0.0","0.09"
