"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CRUD test","1. Verify the if the total is equal to 1563","FAILURE","2022-06-21T21:25:26.096+01:00[Europe/London]","0.0","0.39"
"Stores CRUD test","5. Verify the storied=7 inside storeservices of the third store of second services","FAILURE","2022-06-21T21:25:26.856+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","8. Verify the store name = Rochester of 9th stor","FAILURE","2022-06-21T21:25:27.115+01:00[Europe/London]","0.0","0.08"
"Stores CRUD test","9. Verify the storeId = 11 for the 6th store","FAILURE","2022-06-21T21:25:27.200+01:00[Europe/London]","0.0","0.07"
"Stores CRUD test","1. Verify the if the total is equal to 1563","FAILURE","2022-06-21T21:25:29.148+01:00[Europe/London]","0.0","0.05"
"Stores CRUD test","5. Verify the storied=7 inside storeservices of the third store of second services","FAILURE","2022-06-21T21:25:29.724+01:00[Europe/London]","0.0","1.51"
"Stores CRUD test","8. Verify the store name = Rochester of 9th stor","FAILURE","2022-06-21T21:25:31.336+01:00[Europe/London]","0.0","0.05"
"Stores CRUD test","9. Verify the storeId = 11 for the 6th store","FAILURE","2022-06-21T21:25:31.383+01:00[Europe/London]","0.0","0.06"
"As a user I would like to preform CURD test on products endpoint","I create a new product on products end point","FAILURE","2022-06-21T21:25:31.232+01:00[Europe/London]","0.0","0.1"
"As a user I would like to preform CURD test on products endpoint","I read a newly created product on products end point","FAILURE","2022-06-21T21:25:31.559+01:00[Europe/London]","0.0","0.1"
"As a user I would like to preform CURD test on products endpoint","I update a newly created product on products end point","FAILURE","2022-06-21T21:25:31.755+01:00[Europe/London]","0.0","0.05"
"As a user I would like to preform CURD test on products endpoint","I delete a newly created product on products end point","FAILURE","2022-06-21T21:25:31.844+01:00[Europe/London]","0.0","0.04"
"As a user I would like to preform CURD test on stores endpoint","I read all stores data from the application","FAILURE","2022-06-21T21:25:33.343+01:00[Europe/London]","0.0","0.23"
